Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
04/09/2022,Brest,Strasbourg,1,1,D,1,1,D,11,10,2,3,15,9,7,3,3,1,0,1,22-23
04/09/2022,Clermont,Toulouse,2,0,H,0,0,D,12,14,3,4,14,12,4,6,4,1,0,0,22-23
04/09/2022,Reims,Lens,1,1,D,0,0,D,17,20,4,4,9,11,4,4,2,2,0,1,22-23
04/09/2022,Troyes,Rennes,1,1,D,1,0,H,9,19,1,6,13,22,3,5,2,2,1,0,22-23
04/09/2022,Nice,Monaco,0,1,A,0,0,D,12,14,5,2,10,12,3,6,2,1,0,0,22-23
07/09/2022,Lorient,Lyon,3,1,H,2,1,H,11,15,6,7,8,18,1,6,1,3,0,0,22-23
09/09/2022,Lens,Troyes,1,0,H,1,0,H,12,7,3,2,16,10,9,1,2,1,0,0,22-23
10/09/2022,Paris SG,Brest,1,0,H,1,0,H,13,6,4,3,13,16,3,5,4,2,0,0,22-23
10/09/2022,Marseille,Lille,2,1,H,1,1,D,14,7,7,3,22,17,4,3,5,1,0,0,22-23
11/09/2022,Strasbourg,Clermont,0,0,D,0,0,D,12,10,4,4,20,15,3,5,4,2,1,0,22-23
11/09/2022,Ajaccio,Nice,0,1,A,0,0,D,9,12,3,3,9,11,2,3,1,5,0,0,22-23
11/09/2022,Angers,Montpellier,2,1,H,1,1,D,11,7,5,2,15,12,2,5,2,4,0,0,22-23
11/09/2022,Lorient,Nantes,3,2,H,1,1,D,13,9,5,4,9,17,2,5,2,3,0,0,22-23
11/09/2022,Toulouse,Reims,1,0,H,1,0,H,14,11,3,1,17,11,4,6,2,2,0,1,22-23
11/09/2022,Rennes,Auxerre,5,0,H,1,0,H,12,7,9,3,11,9,2,1,1,0,0,0,22-23
11/09/2022,Monaco,Lyon,2,1,H,0,0,D,11,20,4,6,12,9,1,6,1,2,0,0,22-23
